Gruppe;Anzahl;Minuten;Stunden;MB;GB
"Kinder Collections\Burg Schreckenstein";2;196;3,3;9144;8,93
"Kinder Collections\Cats & Dogs";3;251;4,2;20908;20,42
"Kinder Collections\Coco der neugierige Affe";3;246;4,1;7058;6,89
"Kinder Collections\Drachenzähmen leicht gemacht";8;649;10,8;42727;41,73
"Kinder Collections\Drei Fragezeichen";2;182;3;7883;7,7
"Kinder Collections\Dschungelhelden";2;151;2,5;7587;7,41
"Kinder Collections\Familie Robinson";3;303;5,1;19986;19,52
"Kinder Collections\Feivel, der Mauswanderer";4;329;5,5;3121;3,05
"Kinder Collections\Felix";2;153;2,6;2580;2,52
"Kinder Collections\Feuerwehrmann Sam";3;182;3;8917;8,71
"Kinder Collections\Fünf Freunde";5;476;7,9;30277;29,57
"Kinder Collections\Garfield";2;153;2,6;7628;7,45
"Kinder Collections\Grinch";4;278;4,6;20603;20,12
"Kinder Collections\Grüffelo";2;55;0,9;3603;3,52
"Kinder Collections\Happy Feet";3;284;4,7;15655;15,29
"Kinder Collections\Herr Figo";2;185;3,1;12676;12,38
"Kinder Collections\Hotel Transsilvanien";5;457;7,6;26170;25,56
"Kinder Collections\Ice Age";9;647;10,8;80476;78,59
"Kinder Collections\Ich, einfach unverbesserlich";10;752;12,5;42766;41,76
"Kinder Collections\Jagdfieber";4;320;5,3;22781;22,25
"Kinder Collections\Kleine Drache Kokosnuss";3;246;4,1;12574;12,28
"Kinder Collections\Kleine Eisbär";2;150;2,5;1305;1,27
"Kinder Collections\Kleine Rabe Socke";2;150;2,5;7023;6,86
"Kinder Collections\Kung Fu Panda";7;578;9,6;29358;28,67
"Kinder Collections\Könige der Wellen";2;169;2,8;11754;11,48
"Kinder Collections\LEGO";31;2040;34;98398;96,09
"Kinder Collections\Lauras Stern";2;140;2,3;4914;4,8
"Kinder Collections\Lotte";2;150;2,5;4651;4,54
"Kinder Collections\Lucky Luke";2;156;2,6;9031;8,82
"Kinder Collections\Madagascar";5;452;7,5;31824;31,08
"Kinder Collections\Monster High";9;599;10;33214;32,44
"Kinder Collections\Mumins";2;148;2,5;7065;6,9
"Kinder Collections\Muppets";10;943;15,7;61783;60,33
"Kinder Collections\Olsenbande";2;158;2,6;6317;6,17
"Kinder Collections\Operation Nussknacker";3;260;4,3;15031;14,68
"Kinder Collections\Paddington";2;198;3,3;9675;9,45
"Kinder Collections\Peanuts";5;278;4,6;17529;17,12
"Kinder Collections\Pets";4;344;5,7;22157;21,64
"Kinder Collections\Pettersson und Findus";5;393;6,6;14411;14,07
"Kinder Collections\Prinzessin Lillifee";2;144;2,4;6235;6,09
"Kinder Collections\Rico, Oskar";3;285;4,8;14909;14,56
"Kinder Collections\Rio";2;197;3,3;9829;9,6
"Kinder Collections\Ritter Rost";2;170;2,8;6471;6,32
"Kinder Collections\Rudolph mit der roten Nase";2;152;2,5;5180;5,06
"Kinder Collections\Sammys Abenteuer";4;357;6;21625;21,12
"Kinder Collections\Sams";3;299;5;16342;15,96
"Kinder Collections\Schlümpfe";6;478;8;32389;31,63
"Kinder Collections\Schneekönigin";6;489;8,2;30368;29,66
"Kinder Collections\Scooby-Doo";14;1155;19,3;46577;45,49
"Kinder Collections\Shaun das Schaf";10;169;2,8;9494;9,27
"Kinder Collections\Shrek";10;794;13,2;34574;33,76
"Kinder Collections\SpongeBob Schwammkopf";20;713;11,9;26643;26,02
"Kinder Collections\Super Monsters";4;132;2,2;4149;4,05
"Kinder Collections\TKKG";2;206;3,4;8744;8,54
"Kinder Collections\Tad Stones";3;268;4,5;15840;15,47
"Kinder Collections\Teenage Mutant Ninja Turtles";7;705;11,8;53082;51,84
"Kinder Collections\Thunderbirds";2;182;3;15113;14,76
"Kinder Collections\Tim und Struppi";4;408;6,8;23509;22,96
"Kinder Collections\Tom und Jerry";13;837;14;21371;20,87
"Kinder Collections\Vampirschwestern";3;280;4,7;14939;14,59
"Kinder Collections\Völlig von der Wolle";3;242;4;14651;14,31
"Kinder Collections\Wallace & Gromit";7;311;5,2;22195;21,67
"Kinder Collections\Wendy";2;179;3;11591;11,32
"Kinder Collections\Werner";5;407;6,8;26131;25,52
"Kinder Collections\Winzlinge";2;180;3;9686;9,46
"Kinder Collections\Wolkig mit Aussicht auf Fleischbällchen";4;368;6,1;25055;24,47
"Kinder Disney HD\101 Dalmatiner";4;374;6,2;14888;14,54
"Kinder Disney HD\1900-1999";13;1039;17,3;70772;69,11
"Kinder Disney HD\2000-2018";42;3625;60,4;241733;236,07
"Kinder Disney HD\Aladdin";5;488;8,1;32693;31,93
"Kinder Disney HD\Arielle";4;317;5,3;20284;19,81
"Kinder Disney HD\Atlantis";2;165;2,8;8713;8,51
"Kinder Disney HD\Bambi";2;137;2,3;5263;5,14
"Kinder Disney HD\Bernard und Bianca";2;155;2,6;16885;16,49
"Kinder Disney HD\Bärenbrüder";2;158;2,6;7556;7,38
"Kinder Disney HD\Cap und Capper";2;152;2,5;10649;10,4
"Kinder Disney HD\Cars";8;687;11,5;37396;36,52
"Kinder Disney HD\Cinderella";5;433;7,2;27287;26,65
"Kinder Disney HD\Classic Cartoon";19;1063;17,7;47538;46,42
"Kinder Disney HD\Descendants";2;223;3,7;15994;15,62
"Kinder Disney HD\Dschungelbuch";4;360;6;26807;26,18
"Kinder Disney HD\Dumbo";3;285;4,8;22107;21,59
"Kinder Disney HD\Eiskönigin";6;348;5,8;14006;13,68
"Kinder Disney HD\Elliot";2;204;3,4;17069;16,67
"Kinder Disney HD\Fantasia";2;199;3,3;12666;12,37
"Kinder Disney HD\Findet Nemo";4;394;6,6;28536;27,87
"Kinder Disney HD\Glöckner von Notre Dame";2;154;2,6;9491;9,27
"Kinder Disney HD\König der Löwen";7;614;10,2;31446;30,71
"Kinder Disney HD\Königreich für ein Lama";2;153;2,6;7976;7,79
"Kinder Disney HD\Lilo & Stitch";5;326;5,4;12428;12,14
"Kinder Disney HD\Monster AG";3;300;5;13484;13,17
"Kinder Disney HD\Mulan";2;162;2,7;9833;9,6
"Kinder Disney HD\Peter Pan";2;149;2,5;7372;7,2
"Kinder Disney HD\Pixars Kurzfilm Collection";2;62;1;5177;5,06
"Kinder Disney HD\Planes";3;257;4,3;18708;18,27
"Kinder Disney HD\Pocahontas";2;154;2,6;7597;7,42
"Kinder Disney HD\Ralph reichts";3;314;5,2;14806;14,46
"Kinder Disney HD\Rapunzel";3;251;4,2;11375;11,11
"Kinder Disney HD\Schöne und das Biest";5;489;8,2;30547;29,83
"Kinder Disney HD\Susi und Strolch";2;145;2,4;6562;6,41
"Kinder Disney HD\Tarzan";3;227;3,8;7303;7,13
"Kinder Disney HD\Tinkerbell";8;612;10,2;35764;34,93
"Kinder Disney HD\Toy Story";10;741;12,4;38677;37,77
"Kinder Disney HD\Unglaublichen";3;349;5,8;24175;23,61
"Kinder Disney HD\WALL-E";2;106;1,8;7846;7,66
"Kinder Disney HD\Winnie Puuh";5;334;5,6;11495;11,23
"Kinder Filme (A-F)";65;5640;94;319557;312,07
"Kinder Filme (G-M)";81;6792;113,2;365305;356,74
"Kinder Filme (N-Z)";84;7235;120,6;401165;391,76
"Kinder Filme AVI\# A-M";4;305;5,1;6956;6,79
"Kinder Serien";53;1271;21,2;921128;899,54
"Musik";131;14581;243;870312;849,91
"Musik\Electric Light Orchestra - Out Of The Blue Tour";1;17;0,3;895;0,87
"Märchen";58;4335;72,3;152896;149,31
"NEU";184;17540;292,3;1010047;986,37
"Person\Agatha Christie";9;984;16,4;74840;73,09
"Person\Arne Dahl";3;316;5,3;25762;25,16
"Person\Bud Spencer + Terence Hill";40;4194;69,9;317982;310,53
"Person\Chuck Norris";14;1408;23,5;113176;110,52
"Person\Eddie Constantine";7;643;10,7;4880;4,77
"Person\Hitchcock";22;2466;41,1;182407;178,13
"Person\Jerry Lewis";4;392;6,5;24103;23,54
"Person\Jesse Stone";9;764;12,7;25004;24,42
"Person\Karl May";17;1631;27,2;143106;139,75
"Person\Karl Valentin";1;22;0,4;149;0,15
"Person\Louis de Funès";30;2815;46,9;181293;177,04
"Person\Monty Python";8;768;12,8;45967;44,89
"Person\Monty Python\Monty Python's Flying Circus";1;31;0,5;423;0,41
"Person\Nora Roberts";8;712;11,9;20824;20,34
"Person\Perry Mason";17;1533;25,6;56163;54,85
"Person\Stephen King";41;4747;79,1;289678;282,89
"SD-Serien";3;61;1;635;0,62
"SD-Trick-Collections\Die Simpsons";1;21;0,4;232;0,23
"SD-Trick-Collections\Futurama";3;197;3,3;131013;127,94
"SD-Trick-Collections\Stargate Infinity";1;20;0,3;343;0,33
