Nr;Titel;Original Titel;Platte;Pfad;Hinzugefügt;Gesehen;Jahr;FSK;Dauer;Auflösung;Größe in MB;Land;IMDB Wertung;IMDB Anzahl;Tomatometer;Metascore;Genres;Kommentar;Oscar gewonnen;Oscar nominiert;GoldenGlobe;BAFTA
1;"#9";"9";[Kinder-Filme+Trick];X:\HD-Trick\#9 (2009, FSK12, 1920x1040).mkv;15.01.2015;;2009;12;79;1080p;3072;"USA";7,1;122984;0;60;"Action Thriller Drama Sci-Fi Abenteuer Animation/Trick Mystery ";"";0;0;0;0
998;"#Zeitgeist";"Men, Women & Children";[HD 2013(I-Z)-2014(A-Z)];X:\2014(A-F)\#Zeitgeist (2014, FSK12, 1280x720).mkv;04.05.2015;;2014;12;119;720p;1873;"USA";6,7;27301;0;38;"Komödie Drama ";"";0;0;0;0
11911;"#Zeitgeist";"Men, Women & Children (Englischer Titel)";;X:\NEU\#Zeitgeist (2014, FSK12, 1920x1080).mkv;09.10.2019;;2014;12;119;1080p;5806;"USA";6,7;28534;33;38;"Drama Komödie ";"";0;0;0;0
9928;"'10x10";"";[HD 2017(A-Z)-2018(A-F)];X:\2018(A-F)\'10x10 (2018, FSK, 1920x720).mkv;14.11.2018;;2018;;86;1080p;5826;"England";4,9;3585;0;0;"Thriller ";"";0;0;0;0
3870;"'71: Hinter feindlichen Linien";"'71";[HD 2013(I-Z)-2014(A-Z)];X:\2014(A-F)\'71 Hinter feindlichen Linien (2014, FSK16, 1920x808).mkv;23.06.2016;;2014;16;99;1080p;8120;"England";7,2;36903;0;0;"Action Thriller Drama Krieg ";"";0;0;0;0
181;"(500) Days of Summer";"";[HD 2008(G-Z)-2009(A-F)];X:\2009(A-F)\(500) Days of Summer (2009, FSKo.Al., 1920x800).mkv;14.02.2015;;2009;0;95;1080p;5529;"USA";7,7;429264;0;76;"Komödie Drama Liebe ";"";0;0;0;0
9048;"(K)ein Vater gesucht!";"Man of the House";[HD 1992-1995];X:\1995\(K)ein Vater gesucht! (1995, FSK6, 1920x1080).mkv;19.07.2018;;1995;6;92;1080p;6133;"USA";5,1;7430;0;0;"Komödie Familie ";"";0;0;0;0
911;"(T)Raumschiff Surprise - Periode 1";"";[HD 2003-2004-2005(A-F)];X:\2004(A-F)\(T)Raumschiff Surprise - Periode 1 (2004, FSK6, 1280x544).mkv;17.04.2015;07.08.2015;2004;6;87;720p;4474;"Deutschland";5,4;12158;0;0;"Komödie Sci-Fi ";"";0;0;0;0
2151;"(Un)möglicher Härtefall, Ein";"Intolerable Cruelty";[HD 2003-2004-2005(A-F)];X:\2003(A-F)\(Un)möglicher Härtefall, Ein (2003, FSK12, 1920x1040).mkv;09.10.2015;;2003;12;100;1080p;7557;"USA";6,3;83717;0;71;"Komödie Krimi Liebe ";"";0;0;0;0
11662;"...und ledige Mädchen";"Sex and the Single Girl (Englischer Titel)";[Gemischt-01+Anime];X:\1964\...und ledige Mädchen (1964, FSK, 640x352) CD1.avi;13.08.2019;;1964;;64;SD;700;"USA";6,5;3259;60;0;"Komödie Liebe ";"";0;0;0;0
11875;"00 Schneider - Jagd auf Nihil Baxter";"";[Gemischt-01+Anime];X:\1994\00 Schneider - Jagd auf Nihil Baxter (1994, FSK0, 1920x1080).mkv;02.10.2019;;1994;0;88;1080p;5447;"Deutschland";7,1;2343;;0;"Komödie ";"";0;0;0;0
3202;"1 Mord für 2";"Sleuth";[HD 2007(A-Z)-2008(A-F)];X:\2007(A-F)\1 Mord für 2 (2007, FSK12, 1920x816).mkv;14.02.2016;;2007;12;88;1080p;8140;"USA";6,5;28414;0;49;"Thriller Drama Mystery ";"";0;0;0;0
3991;"10 Cloverfield Lane";"";[HD Collection-2(A-Z)-3(A-M)];X:\3-Trilogie(A-F)\Cloverfield\10 Cloverfield Lane (2016, FSK16, 1920x800).mkv;11.07.2016;13.07.2016;2016;16;103;1080p;7639;"USA";7,3;154108;90;0;"Thriller Horror Drama Sci-Fi Mystery ";"";0;0;0;0
6467;"10 Days in a Madhouse";"";[HD 2015(A-Z)];X:\2015(A-F)\10 Days in a Madhouse (2015, FSK, 1920x1080).mkv;27.06.2017;;2015;;109;1080p;11264;"USA";6,4;456;0;0;"Drama ";"";0;0;0;0
2395;"10 Dinge, die ich an Dir hasse";"10 Things I Hate About You";[HD 1996-2002];X:\1999\10 Dinge, die ich an Dir hasse (1999, FSK12, 1920x1040).mkv;04.11.2015;;1999;12;97;1080p;11571;"USA";7,3;260312;0;70;"Drama Komödie Liebe ";"";0;0;0;0
7159;"10 Gebote, Die";"The Ten Commandments";[HD 2005(G-Z)-2006(A-Z)];X:\2006(A-F)\10 Gebote, Die (2006, FSK, 1920x1072).mkv;02.10.2017;;2006;;175;1080p;11366;"USA";5,4;1102;0;0;"Action Drama Abenteuer Krieg Geschichte Biographie TV-Serie ";"";0;0;0;0
5022;"100 Bloody Acres";"";[FSK18];X:\FSK18-2012\100 Bloody Acres (2012, FSK18, 1280x528).mkv;19.12.2016;;2012;18;90;720p;2365;"Australien";6,0;2795;0;0;"Horror Komödie ";"";0;0;0;0
11250;"100 Dinge";"";[HD 2017(A-Z)-2018(A-F)];X:\2018(A-F)\100 Dinge (2018, FSK6, 1920x808).mkv;04.06.2019;;2018;6;111;1080p;4433;"Deutschland";6,4;932;0;0;"Komödie ";"";0;0;0;0
4698;"100 Gewehre";"100 Rifles";[HD Eastern+Western];X:\HD-Western-1960-1979\100 Gewehre (1969, FSK16, 1920x1040).mkv;06.11.2016;;1969;16;109;1080p;10752;"USA";5,9;2003;0;0;"Abenteuer Krieg Western Liebe ";"";0;0;0;0
6107;"100 Schritte";"";[HD 1996-2002];X:\2000\100 Schritte (2000, FSK12, 720x392).mkv;01.05.2017;;2000;12;106;SD;1280;"Italien";7,7;4035;0;0;"Drama Krimi Biographie ";"";0;0;0;0
6073;"100, The";"";[HD Serien(A-H)];X:\HD-Serien\100, The\S01\The 100 S01E01 Die Landung.mkv;26.04.2017;;2014;16;39;720p;2263;"USA";7,8;124367;0;0;"Drama Sci-Fi Mystery TV-Serie ";"";0;0;0;0
6091;"1001 Gramm";"";[HD 2013(I-Z)-2014(A-Z)];X:\2014(A-F)\1001 Gramm (2014, FSK0, 1280x720).mkv;28.04.2017;;2014;0;85;720p;1689;"Norwegen";6,3;1028;0;0;"Drama ";"";0;0;0;0
4369;"101 Dalmatiner";"101 Dalmatians";[Kinder-Filme+Trick];X:\Kinder Disney HD\101 Dalmatiner\101 Dalmatiner (1996, FSK0, 1280x542).mkv;13.09.2016;;1996;0;126;720p;3471;"";5,6;76212;0;0;"Komödie Abenteuer Familie ";"";0;0;0;0
886;"101 Dalmatiner";"101 Dalmatians (Englischer Titel)";[Kinder-Filme+Trick];X:\Kinder Disney HD\101 Dalmatiner\101 Dalmatiner (1961, FSKo.Al., 1440x1080).mkv;10.04.2015;;1961;0;79;1080p;4106;"USA";7,2;131935;0;0;"Animation/Trick Abenteuer Komödie Familie ";"";0;0;0;01
4662;"101 Dalmatiner - Teil 2: Auf kleinen Pfoten zum großen Star!";"101 Dalmatians 2: Patch's London Adventure (Englischer Titel)";[Kinder-Filme+Trick];X:\Kinder Disney HD\101 Dalmatiner\101 Dalmatiner - Teil 2 Auf kleinen Pfoten zum großen Star! (2003, FSK0, 1920x1080).mkv;02.11.2016;;2003;0;73;1080p;4659;"USA";5,7;4761;0;0;"Komödie Abenteuer Animation/Trick Familie Musical ";"";0;0;0;0
10690;"101 Reykjavik";"";[Gemischt-01+Anime];X:\2000\101 Reykjavik (2000, FSK16, 718x552).mkv;22.02.2019;;2000;16;84;SD;798;"Island";6,9;8960;0;68;"Komödie Liebe ";"";0;0;0;0
10494;"102 Dalmatiner";"102 Dalmatians (Englischer Titel)";[Kinder-Filme+Trick];X:\Kinder Disney HD\101 Dalmatiner\102 Dalmatiner (2000, FSK6, 1280x720).mkv;16.01.2019;;2000;6;96;720p;2652;"USA";4,9;31012;0;35;"Komödie Abenteuer Familie ";"";0;01;0;0
4865;"11.22.63 - Der Anschlag";"11.22.63";[HD Serien(A-H)];X:\HD-Serien\11.22.63\11.22.63-S01E01.mkv;24.11.2016;;2016;;80;720p;2396;"USA";8,3;39111;0;0;"Thriller Drama Sci-Fi Mystery TV-Serie ";"verschieben zu "X:\Person\Stephen King"";0;0;0;0
10689;"11.6: The French Job";"11.6 (Englischer Titel)";[HD 2012(N-Z)-2013(A-H)];X:\2013(A-F)\11.6 The French Job (2013, FSK12, 1280x536).mkv;22.02.2019;;2013;12;101;720p;2600;"Frankreich";5,8;2042;0;0;"Thriller Drama Biographie ";"";0;0;0;0
1540;"11:14";"";[HD 2003-2004-2005(A-F)];X:\2003(A-F)\1114 (2003, FSK16, 1920x1072).mkv;14.07.2015;;2003;16;86;1080p;8192;"USA";7,2;41263;0;65;"Komödie Krimi Drama ";"";0;0;0;0
10634;"12 Feet Deep - Gefangen im Wasser";"12 Feet Deep (Englischer Titel)";[HD 2017(A-Z)-2018(A-F)];X:\2017(A-F)\12 Feet Deep - Gefangen im Wasser (2017, FSK16, 1920x1080).mkv;08.02.2019;;2017;16;85;1080p;4177;"USA";5,6;10187;0;0;"Thriller Horror ";"";0;0;0;0
1425;"12 Jahre, 3 Monate, 9 Tage - Die Jahreschronik des Dritten Reichs";"12 Jahre, 3 Monate, 9 Tage - Die Jahreschronik des Dritten Reichs";[HD Serien(SU-Z)+Dokus+Musik];X:\Dokumentationen\Geschichte+Politik\12 Jahre 3 Monate 9 Tage2\1933 Machtergreifung und Unterdrückung.mkv;02.07.2015;;2006;12;52;1080p;2785;"Deutschland";7,4;26;0;0;"Dokumentation TV-Serie ";"";0;0;0;0
6558;"12 Meter ohne Kopf";"";[HD 2008(G-Z)-2009(A-F)];X:\2009(A-F)\12 Meter ohne Kopf (2009, FSK12, 1920x816).mkv;10.07.2017;;2009;12;102;1080p;4997;"Deutschland";5,5;365;0;0;"Drama Komödie Abenteuer Geschichte Biographie ";"";0;0;0;0
25;"12 Monkeys";"Twelve Monkeys";[HD 1992-1995];X:\1995\12 Monkeys (1995, FSK16, 1904x1064).mkv;02.02.2015;;1995;16;129;1080p;12288;"USA";8,0;529029;0;74;"Mystery Sci-Fi Thriller ";"";0;02;01;0
991;"12 Years a Slave";"";[HD 2012(N-Z)-2013(A-H)];X:\2013(A-F)\12 Years a Slave (2013, FSK12, 1920x800).mkv;04.05.2015;;2013;12;134;1080p;9236;"USA";8,1;553590;0;96;"Biographie Drama Geschichte ";"";03;06;01;02
5970;"120 Tage von Sodom, Die";"Salò, or the 120 Days of Sodom (Englischer Titel)";[FSK18];X:\FSK18-1900-1999\120 Tage von Sodom, Die (1975, FSKBPjM Restricted, 1280x688).mkv;15.04.2017;;1975;BPjM Restricted;116;720p;4474;"Italien";6,0;41152;0;0;"Drama Krieg ";"";0;0;0;0
571;"127 Hours";"";[HD 2009(G-Z)-2010(A-F)];X:\2010(A-F)\127 Hours (2010, FSK12, 1920x1040).mkv;11.03.2015;;2010;12;94;1080p;11468;"USA";7,6;314787;0;82;"Abenteuer Biographie Drama Thriller ";"";0;06;0;0
9031;"12th Man - Kampf ums Überleben, The";"";[HD 2017(A-Z)-2018(A-F)];X:\2017(A-F)\12th Man - Kampf ums Überleben, The (2017, FSK, 1920x808).mkv;08.06.2018;;2017;;135;1080p;4802;"Norwegen";7,4;7330;0;76;"Thriller Drama Krieg Geschichte ";"";0;0;0;0
12067;"13";"";;X:\NEU\13 (2010, FSK16, 1920x800).mkv;18.11.2019;;2010;16;90;1080p;4935;"USA";6,1;38898;0;29;"Thriller Drama Krimi ";"";0;0;0;0
2272;"13 Assassins";"";[HD Eastern+Western];X:\HD-Eastern-Classic(A-M)\13 Assassins (2010, FSK16, 1920x800).mkv;25.10.2015;;2010;16;141;1080p;5529;"Japan";7,6;57047;0;84;"Action Drama Abenteuer ";"";0;0;0;0
3785;"13 Hours: The Secret Soldiers of Benghazi";"";[HD 2016(A-Z)];X:\2016(A-F)\13 Hours The Secret Soldiers of Benghazi (2016, FSK16, 1920x800).mkv;13.06.2016;11.11.2016;2016;16;144;1080p;8529;"USA";7,3;61573;51;0;"Action Thriller Drama Krieg ";"";0;0;0;0
1534;"13 Sins - Spiel des Todes";"13 Sins";[HD 2013(I-Z)-2014(A-Z)];X:\2014(A-F)\13 Sins - Spiel des Todes (2014, FSK16, 1280x536).mkv;14.07.2015;15.07.2015;2014;16;93;720p;2263;"USA";6,3;28439;0;44;"Horror Thriller ";"";0;0;0;0
5587;"13 Söhne des gelben Drachen, Die";"The Heroic Ones (Englischer Titel)";[FSK18];X:\FSK18-Eastern\13 Söhne des gelben Drachen, Die (1970, FSK18, 1920x816).mkv;19.02.2017;;1970;18;121;1080p;7342;"Hong-Kong";6,8;505;0;0;"Action Drama Krieg Geschichte ";"";0;0;0;0
2896;"13. Krieger, Der";"The 13th Warrior";[HD 1996-2002];X:\1999\13. Krieger, Der (1999, FSK12, 1920x816).mkv;29.12.2015;;1999;12;102;1080p;7976;"USA";6,6;108906;0;42;"Action Abenteuer Geschichte ";"";0;0;0;0
6759;"137 Karat - Ein fast perfekter Coup";"";[HD 2013(I-Z)-2014(A-Z)];X:\2014(A-F)\137 Karat - Ein fast perfekter Coup (2014, FSK12, 1920x808).mkv;30.08.2017;;2014;12;108;1080p;4055;"Frankreich";6,3;1171;0;0;"Thriller Drama Krimi ";"";0;0;0;0
6041;"13th Floor - Bist du was du denkst?, The";"The Thirteenth Floor";[HD 1996-2002];X:\1999\13th Floor - Bist du was du denkst, The (1999, FSK12, 1280x528).mkv;24.04.2017;;1999;12;96;720p;4474;"Deutschland";7,0;54762;0;0;"Thriller Sci-Fi Mystery ";"";0;0;0;0
9049;"14 Tage lebenslänglich";"";[HD 1996-2002];X:\1997\14 Tage lebenslänglich (1997, FSK16, 1920x1032).mkv;19.07.2018;;1997;16;100;1080p;4433;"Deutschland";6,5;493;0;0;"Thriller ";"";0;0;0;0
1004;"1492 - Die Eroberung des Paradieses";"";[HD 1992-1995];X:\1992\1492 - Die Eroberung des Paradieses (1992, FSK16, 1280x544).mkv;05.05.2015;;1992;16;154;720p;6717;"Frankreich";6,5;25462;0;47;"Abenteuer Biographie Drama Geschichte ";"";0;0;0;0
7107;"1572 - Die Schlacht um Holland";"Kenau";[HD 2013(I-Z)-2014(A-Z)];X:\2014(A-F)\1572 - Die Schlacht um Holland (2014, FSK16, 1920x808).mkv;26.09.2017;;2014;16;112;1080p;3317;"Niederlande";6,5;1157;0;0;"Action Abenteuer Geschichte ";"";0;0;0;0
9045;"15:17 to Paris";"The 15:17 to Paris";[HD 2017(A-Z)-2018(A-F)];X:\2018(A-F)\1517 to Paris (2018, FSK12, 1920x808).mkv;08.06.2018;;2018;12;93;1080p;4065;"USA";5,1;16638;0;45;"Drama Biographie ";"";0;0;0;0
1495;"16 Blocks";"";[HD 2005(G-Z)-2006(A-Z)];X:\2006(A-F)\16 Blocks (2006, FSK12, 1280x528).mkv;11.07.2015;;2006;12;105;720p;2201;"Deutschland";6,6;119990;0;63;"Action Krimi Drama Thriller ";"";0;0;0;0
10447;"1612 - Angriff der Kreuzritter";"1612: Khroniki smutnogo vremeni (Englischer Titel)";[HD 2007(A-Z)-2008(A-F)];X:\2007(A-F)\1612 - Angriff der Kreuzritter (2007, FSK, 1920x784).mkv;09.01.2019;;2007;;143;1080p;10065;"Russland";5,7;1994;0;0;"Drama Abenteuer Krieg Fantasy Geschichte ";"";0;0;0;0
8648;"17 Again - Back to High School";"17 Again";[HD 2008(G-Z)-2009(A-F)];X:\2009(A-F)\17 Again - Back to High School (2009, FSK0, 1920x800).mkv;13.04.2018;;2009;0;101;1080p;6225;"USA";6,4;158957;0;0;"Drama Komödie Fantasy ";"";0;0;0;0
5799;"18 Bilder/Sek";"";[HD 2009(G-Z)-2010(A-F)];X:\2010(A-F)\18 BilderSek (2010, FSK, 1920x1032).mkv;22.03.2017;;2010;;101;1080p;4997;"Deutschland";6,6;21;0;0;"Drama ";"";0;0;0;0
9050;"18 Stunden bis zur Ewigkeit";"Juggernaut";[HD 1971-1979];X:\1974\18 Stunden bis zur Ewigkeit (1974, FSK12, 1920x1040).mkv;19.07.2018;;1974;12;110;1080p;7833;"England";6,6;4239;0;0;"Action Thriller Drama ";"";0;0;0;0
4903;"187 - Eine tödliche Zahl";"One Eight Seven";[HD 1996-2002];X:\1997\187 - Eine tödliche Zahl (1997, FSK16, 1920x1040).mkv;30.11.2016;;1997;16;119;1080p;9574;"USA";6,7;18203;0;0;"Thriller Drama ";"";0;0;0;0
3924;"1900 - Teil 1 - Gewalt, Macht, Leidenschaft";"1900 (Englischer Titel)";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(A-F)\1900 - Novecento\1900 - Teil 1 - Gewalt, Macht, Leidenschaft (1976, FSK16, 1920x1040).mkv;30.06.2016;;1976;16;162;1080p;13414;"Italien";7,7;17834;0;0;"Drama ";"";0;0;0;0
3925;"1900 - Teil 2 - Kampf, Liebe, Hoffnung";"1900 (Englischer Titel)";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(A-F)\1900 - Novecento\1900 - Teil 2 - Kampf, Liebe, Hoffnung (1976, FSK16, 1920x1040).mkv;30.06.2016;;1976;16;153;1080p;13414;"Italien";7,7;17834;0;0;"Drama ";"";0;0;0;0
4131;"1911 Revolution";"";[HD Eastern+Western];X:\HD-Eastern-Collections\Jackie Chan\1911 Revolution (2011, FSK12, 1920x816).mkv;26.07.2016;;2011;12;120;1080p;7915;"China";6,0;4769;0;0;"Action Abenteuer Drama Geschichte Krieg ";"";0;0;0;0
7358;"1922";"";[HD Collection-7+mehr(A-Z)+Person];X:\Person\Stephen King\1922 (2017, FSK, 1920x1080).mkv;20.10.2017;;2017;;102;1080p;3225;"USA";6,3;30277;88;70;"Thriller Horror Drama Krimi Mystery ";"";0;0;0;0
8573;"1941 - Wo bitte geht's nach Hollywood";"1941";[HD 1971-1979];X:\1979\1941 - Wo bitte geht's nach Hollywood (1979, FSK12, 1920x816).mkv;22.03.2018;;1979;12;118;1080p;8949;"USA";5,8;27592;0;0;"Action Komödie Krieg ";"";0;03;0;0
3736;"1984";"";[HD 1980-1986];X:\1984\1984 (1984, FSK16, 1920x1040).mkv;30.05.2016;;1984;16;110;1080p;8949;"England";7,2;49984;82;0;"Thriller Drama Sci-Fi Liebe ";"";0;0;0;0
1617;"2 Guns";"";[HD 2012(N-Z)-2013(A-H)];X:\2013(A-F)\2 Guns (2013, FSK16, 1920x800).mkv;27.07.2015;;2013;16;109;1080p;8642;"USA";6,7;177123;0;55;"Action Thriller Drama Komödie Krimi ";"";0;0;0;0
3002;"2 Millionen Dollar Trinkgeld";"It Could Happen to You";[HD 1992-1995];X:\1994\2 Millionen Dollar Trinkgeld (1994, FSK6, 1920x1040).mkv;16.01.2016;;1994;6;101;1080p;5877;"USA";6,3;31208;0;64;"Drama Komödie Liebe ";"";0;0;0;0
11162;"2 Tage New York";"";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(A-F)\2 Tage\2 Tage New York (2012, FSK, 1920x1040).mkv;20.02.2016;;2012;12;96;1080p;5775;"Frankreich";6,0;13301;0;61;"Drama Komödie Liebe ";"";0;0;0;0
3073;"2 Tage Paris";"2 Days in Paris";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(A-F)\2 Tage\2 Tage Paris (2007, FSK12, 1920x1048).mkv;21.01.2016;;2007;12;100;1080p;8857;"Frankreich";6,8;28689;0;67;"Drama Komödie Liebe ";"";0;0;0;0
9549;"20 Feet From Stardom";"";[HD Serien(SU-Z)+Dokus+Musik];X:\Musik\20 Feet From Stardom (2013, FSK0, 1920x1080).mkv;07.09.2018;;2013;0;90;1080p;7045;"USA";7,4;10877;99;0;"Musik Dokumentation ";"";01;0;0;0
5348;"20 Jahre Söhne Mannheims Live";"";[HD Serien(SU-Z)+Dokus+Musik];X:\Musik\20 Jahre Söhne Mannheims Live (2015, FSK0, 1280x720).mkv;17.01.2017;;2015;0;89;720p;8294;"Deutschland";0,0;0;0;0;"Musik ";"";0;0;0;0
5736;"20 Minutes";"The Power of Few";[HD 2012(N-Z)-2013(A-H)];X:\2013(A-F)\20 Minutes (2013, FSK16, 1280x720).mkv;16.03.2017;;2013;16;95;720p;2764;"USA";5,4;3418;0;0;"Action Thriller Drama Krimi Mystery ";"";0;0;0;0
4988;"200 Jahre Mann, Der";"Bicentennial Man";[HD 1996-2002];X:\1999\200 Jahre Mann, Der (1999, FSK0, 1920x1074).mkv;07.12.2016;;1999;0;125;1080p;4229;"USA";6,8;89890;0;0;"Drama Sci-Fi Komödie ";"";0;01;0;0
2066;"2001: Odyssee im Weltraum";"2001: A Space Odyssey";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(A-F)\2001-2010\2001 Odyssee im Weltraum (1968, FSK12, 1920x864).mkv;29.09.2015;;1968;12;149;1080p;11366;"USA";8,3;519487;0;82;"Sci-Fi Mystery ";"";01;03;0;03
3887;"2010 - Das Jahr, in dem wir Kontakt aufnehmen";"2010: The Year We Make Contact (Englischer Titel)";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(A-F)\2001-2010\2010 - Das Jahr, in dem wir Kontakt aufnehmen (1984, FSK12, 1920x800).mkv;27.06.2016;;1984;12;115;1080p;10956;"USA";6,8;41940;0;0;"Thriller Sci-Fi Abenteuer Mystery ";"";0;05;0;0
26;"2012 - Das Ende der Welt";"2012";[HD 2008(G-Z)-2009(A-F)];X:\2009(A-F)\2012 - Das Ende der Welt (2009, FSK12, 1920x800).mkv;02.02.2015;;2009;12;158;1080p;8724;"USA";5,8;318936;0;49;"Action Abenteuer Sci-Fi ";"";0;0;0;0
1003;"21";"";[HD 2007(A-Z)-2008(A-F)];X:\2008(A-F)\21 (2008, FSK12, 1280x528).mkv;05.05.2015;;2008;12;123;720p;4485;"USA";6,8;209185;0;48;"Krimi Drama Geschichte Thriller ";"";0;0;0;0
8733;"21 & Over";"";[HD 2012(N-Z)-2013(A-H)];X:\2013(A-F)\21 & Over (2013, FSK12, 1920x800).mkv;26.04.2018;;2013;12;93;1080p;5068;"USA";5,9;66194;0;0;"Komödie ";"";0;0;0;0
1343;"21 Gramm";"21 Grams";[HD 2003-2004-2005(A-F)];X:\2003(A-F)\21 Gramm (2003, FSK12, 1280x688).mkv;24.06.2015;;2003;12;124;720p;7096;"USA";7,7;208370;0;70;"Krimi Drama Thriller ";"";0;02;0;0
1985;"21 Jump Street";"";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(G-M)\Jump Street\21 Jump Street (2012, FSK12, 1920x800).mkv;15.09.2015;;2012;12;109;1080p;8366;"USA";7,2;464516;0;69;"Action Komödie Krimi ";"";0;0;0;0
11569;"21 Stunden von München, Die";"21 Hours at Munich (Englischer Titel)";[Gemischt-01+Anime];X:\1976\21 Stunden von München, Die (1976, FSK16, 1920x1040).mkv;30.07.2019;;1976;16;101;1080p;8960;"USA";6,4;819;0;0;"Thriller Drama Sport Geschichte ";"";0;0;0;0
9706;"211";"";[HD 2017(A-Z)-2018(A-F)];X:\2018(A-F)\211 (2018, FSK16, 1920x1040).mkv;10.10.2018;;2018;16;87;1080p;10752;"USA";4,3;3141;5;21;"Action Drama Geschichte ";"BDRIP DUBBED";0;0;0;0
282;"22 Bullets";"";[FSK18];X:\FSK18-2010\22 Bullets (2010, FSK18, 1920x816).mkv;16.02.2015;;2010;18;117;1080p;7495;"Frankreich";6,7;29337;0;0;"Action Krimi Thriller ";"";0;0;0;0
1986;"22 Jump Street";"";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(G-M)\Jump Street\22 Jump Street (2014, FSK12, 1920x800).mkv;15.09.2015;;2014;12;112;1080p;7598;"USA";7,0;308514;0;71;"Action Komödie Krimi ";"";0;0;0;0
11309;"23 - Nichts ist so wie es scheint";"";[Gemischt-01+Anime];X:\1998\23 - Nichts ist so wie es scheint (1998, FSK12, 1920x1080).mkv;18.06.2019;;1998;12;94;1080p;4526;"Deutschland";7,3;6172;0;0;"Thriller Drama ";"";0;0;0;0
8324;"23 Schritte zum Abgrund";"23 Paces to Baker Street";[HD 1900-1970];X:\1950-1959\23 Schritte zum Abgrund (1956, FSK12, 1920x760).mkv;24.02.2018;;1956;12;103;1080p;6717;"USA";7,0;1453;0;0;"Thriller Krimi Mystery ";"";0;0;0;0
2538;"24";"";[HD Serien(A-H)];X:\HD-Serien\24\24 S01\24 S01E01.mkv;19.11.2015;;2001;16;44;SD;582;"USA";8,4;160737;0;0;"TV-Serie Action Drama Mystery Thriller ";"";0;0;0;0
8730;"24 Hours to Live";"";[HD 2017(A-Z)-2018(A-F)];X:\2017(A-F)\24 Hours to Live (2017, FSK16, 1920x800).mkv;25.04.2018;;2017;16;93;1080p;6973;"Süd-Afrika";5,7;8432;52;37;"Action Thriller Sci-Fi ";"";0;0;0;0
3534;"24 Stunden Angst";"Trapped";[HD 1996-2002];X:\2002\24 Stunden Angst (2002, FSK16, 1920x1080).mkv;26.04.2016;;2002;16;101;1080p;8458;"USA";6,2;19814;0;0;"Thriller Drama Krimi ";"";0;0;0;0
9349;"24 Stunden in seiner Gewalt";"Desperate Hours";[HD 1987-1991];X:\1990\24 Stunden in seiner Gewalt (1990, FSK16, 1920x1040).mkv;15.08.2018;;1990;16;105;1080p;13516;"USA";5,4;6064;0;0;"Action Thriller Drama Krimi ";"";0;0;0;0
5880;"24 Wochen";"";[HD 2016(A-Z)];X:\2016(A-F)\24 Wochen (2016, FSK, 1920x808).mkv;02.04.2017;;2016;;102;1080p;10444;"Deutschland";7,5;525;0;0;"Drama ";"";0;0;0;0
11021;"25 km/h";"";[HD 2017(A-Z)-2018(A-F)];X:\2018(A-F)\25 kmh (2018, FSK6, 1916x792).mkv;18.04.2019;;2018;6;116;1080p;4096;"Deutschland";7,4;680;0;0;"Drama Komödie Abenteuer ";"";0;0;0;0
6484;"25 Stunden";"25th Hour";[HD 1996-2002];X:\2002\25 Stunden (2002, FSK12, 1920x800).mkv;28.06.2017;;2002;12;129;1080p;10547;"USA";7,7;154821;0;0;"Drama ";"";0;0;0;0
1537;"27 Dresses";"";[HD 2007(A-Z)-2008(A-F)];X:\2008(A-F)\27 Dresses (2008, FSKo.Al., 1280x720).mkv;14.07.2015;;2008;0;111;720p;4188;"USA";6,1;140483;0;47;"Komödie Liebe ";"";0;0;0;0
7191;"28 Soldiers - Die Panzerschlacht";"";[HD 2016(A-Z)];X:\2016(A-F)\28 Soldiers - Die Panzerschlacht (2016, FSK16, 1920x808).mkv;09.10.2017;;2016;16;120;1080p;7178;"Russland";7,0;2697;0;0;"Action Drama Krieg Geschichte ";"";0;0;0;0
2331;"28 Tage später";"28 Days Later...";[FSK18];X:\FSK18-Collections\28 Tage Wochen später\28 Tage später (2002, FSK18, 1920x1040).mkv;31.10.2015;;2002;18;113;1080p;8140;"England";7,6;337148;0;73;"Horror ";"";0;0;0;0
2374;"28 Wochen später";"28 Weeks Later";[FSK18];X:\FSK18-Collections\28 Tage Wochen später\28 Wochen später (2007, FSK18, 1920x1040).mkv;04.11.2015;;2007;18;100;1080p;14950;"England";7,0;236392;0;78;"Horror Sci-Fi ";"";0;0;0;0
4301;"2:22";"";[HD 2007(A-Z)-2008(A-F)];X:\2008(A-F)\222 (2008, FSK16, 1920x1080).mkv;04.09.2016;;2008;16;104;1080p;10752;"Kanada";5,3;1110;0;0;"Thriller Drama Krimi ";"";0;0;0;0
