Nr;Titel;Original Titel;Platte;Pfad;Hinzugefügt;Gesehen;Jahr;FSK;Dauer;Auflösung;Größe in MB;Land;IMDB Wertung;IMDB Anzahl;Tomatometer;Metascore;Genres;Kommentar;Oscar gewonnen;Oscar nominiert;GoldenGlobe;BAFTA
2717;"In China essen sie Hunde";"In China They Eat Dogs (Englischer Titel)";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(G-M)\In China essen sie Hunde\In China essen sie Hunde (1999, FSK18, 1920x1080).mkv;06.12.2015;;1999;18;94;1080p;8140;"Dänemark";7,5;18025;0;0;"Action Komödie Krimi ";"";0;0;0;0
9888;"In Darkness";"";[HD 2018(G-Z)-2019(A-Z)];X:\2018(G-M)\In Darkness (2018, FSK, 1920x800).mkv;08.11.2018;;2018;;101;1080p;6993;"England";5,7;7160;44;59;"Thriller Mystery ";"";0;0;0;0
11247;"In deinen Händen";"In Your Hands (Englischer Titel)";[HD 2003-2004-2005(A-F)];X:\2004(G-M)\In deinen Händen (2004, FSK12, 716x568).mkv;29.05.2019;;2004;12;101;SD;999;"Dänemark";6,9;1048;0;0;"Drama ";"";0;0;0;0
8764;"In deiner Haut";"";[HD 2007(A-Z)-2008(A-F)];X:\2007(G-M)\In deiner Haut (2007, FSK12, 1920x816).mkv;27.04.2018;;2007;12;88;1080p;2682;"Frankreich";6,4;3255;0;0;"Drama Liebe ";"";0;0;0;0
10943;"In den Fesseln von Shangri-La";"Lost Horizon (Englischer Titel)";[HD 1900-1970];X:\1900-1949\In den Fesseln von Shangri-La (1937, FSK6, 1488x1080).mkv;08.04.2019;;1937;6;133;1080p;8919;"USA";7,8;11059;0;0;"Drama Abenteuer Fantasy Mystery ";"";02;05;0;0
9847;"In den Gängen";"";[HD 2018(G-Z)-2019(A-Z)];X:\2018(G-M)\In den Gängen (2018, FSK12, 1792x1080).mkv;02.11.2018;05.12.2018;2018;12;120;1080p;4526;"Deutschland";7,2;821;0;0;"Drama ";"";0;0;0;0
11109;"In den Schuhen des Fischers";"The Shoes of the Fisherman (Englischer Titel)";[Gemischt-01+Anime];X:\1968\In den Schuhen des Fischers (1968, FSK12, 1920x800).mkv;24.04.2019;;1968;12;155;1080p;5457;"USA";7,2;3090;0;0;"Drama ";"";0;02;01;0
2392;"In den Schuhen meiner Schwester";"In Her Shoes";[HD 2005(G-Z)-2006(A-Z)];X:\2005(G-M)\In den Schuhen meiner Schwester (2005, FSK0, 1920x816).mkv;04.11.2015;;2005;0;130;1080p;10342;"USA";6,5;55792;0;60;"Komödie Drama Liebe ";"";0;0;0;0
5089;"In den Straßen der Bronx";"A Bronx Tale";[HD 1992-1995];X:\1993\In den Straßen der Bronx (1993, FSK12, 1920x1088).mkv;23.12.2016;;1993;12;121;1080p;12595;"USA";7,8;100342;0;0;"Drama Krimi ";"";0;0;0;0
4731;"In den Tiefen des Infernos";"Into the Inferno";[HD Serien(SU-Z)+Dokus+Musik];X:\Dokumentationen\Natur\In den Tiefen des Infernos (2016, FSK0, 1280x674).mkv;10.11.2016;;2016;0;106;720p;6225;"England";7,3;1569;0;0;"Dokumentation ";"";0;0;0;0
2157;"In der Glut des Südens";"Days of Heaven";[HD 1971-1979];X:\1978\In der Glut des Südens (1978, FSK12, 1920x1080).mkv;09.10.2015;;1978;12;94;1080p;8263;"USA";7,9;44242;0;93;"Drama Liebe ";"";01;03;0;01
7551;"In der Heimat wohnt das Glück";"Love Finds You in Valentine";[HD 2016(A-Z)];X:\2016(G-M)\In der Heimat wohnt das Glück (2016, FSK0, 1920x1080).mkv;20.11.2017;;2016;0;90;1080p;4085;"USA";6,4;617;0;0;"Drama Liebe ";"";0;0;0;0
8765;"In der Hitze der Nacht";"In the Heat of the Night";[HD 1900-1970];X:\1967\In der Hitze der Nacht (1967, FSK12, 1920x1040).mkv;27.04.2018;;1967;12;110;1080p;8130;"USA";8,0;56498;0;0;"Thriller Drama Krimi Mystery ";"";05;02;03;02
8766;"In der Stille der Nacht";"Still of the Night";[HD 1980-1986];X:\1982\In der Stille der Nacht (1982, FSK16, 1920x1040).mkv;27.04.2018;;1982;16;85;1080p;5027;"USA";6,1;3304;0;0;"Drama Krimi Mystery ";"";0;0;0;0
8767;"In der Tiefe wartet der Tod";"Nine Miles Down";[HD 2009(G-Z)-2010(A-F)];X:\2009(G-M)\In der Tiefe wartet der Tod (2009, FSK16, 1920x816).mkv;27.04.2018;;2009;16;82;1080p;3133;"England";5,5;2884;0;0;"Thriller Horror Sci-Fi Mystery ";"";0;0;0;0
2217;"In einem fernen Land";"Far and Away";[HD Eastern+Western];X:\HD-Western-1980-1999\In einem fernen Land (1992, FSK12, 1920x816).mkv;21.10.2015;;1992;12;140;1080p;7434;"USA";6,6;53616;0;49;"Drama Abenteuer Western Liebe ";"";0;0;0;0
10700;"In einem Jahr mit 13 Monden";"In a Year with 13 Moons (Englischer Titel)";[FSK18];X:\FSK18-1900-1999\In einem Jahr mit 13 Monden (1978, FSK18, 1792x1080).mkv;22.02.2019;;1978;18;124;1080p;7833;"West-Deutschland";7,7;3120;0;0;"Drama ";"";0;0;0;0
2720;"In einer besseren Welt";"In a Better World (Englischer Titel)";[HD 2010(G-Z)-2011(A-F)];X:\2010(G-M)\In einer besseren Welt (2010, FSK12, 1920x816).mkv;06.12.2015;25.01.2016;2010;12;117;1080p;4874;"Dänemark";7,6;35898;0;65;"Drama ";"";01;0;01;0
3418;"In guten Händen";"Hysteria";[HD 2011(G-Z)];X:\2011(G-M)\In guten Händen (2011, FSK12, 1920x816).mkv;03.04.2016;;2011;12;99;1080p;6379;"England";6,7;28454;0;53;"Komödie Liebe ";"";0;0;0;0
1954;"In guten wie in schweren Tagen";"Kabhi Khushi Kabhie Gham...";[HD 1996-2002];X:\2001\In guten wie in schweren Tagen (2001, FSK6, 1920x816).mkv;09.09.2015;;2001;6;210;1080p;14438;"Indien";7,5;38190;0;0;"Drama Musical Liebe ";"";0;0;0;0
11328;"In Hell: Rage Unleashed";"In Hell (Englischer Titel)";[FSK18];X:\FSK18-2000-2009\In Hell Rage Unleashed (2003, FSK18, 1920x1040).mkv;19.06.2019;;2003;18;97;1080p;8960;"USA";6,3;17465;0;0;"Action Thriller Drama ";"";0;0;0;0
1953;"In ihrem Haus";"";[HD 2012(A-M)];X:\2012(G-M)\In ihrem Haus (2012, FSK12, 1920x1040).mkv;09.09.2015;;2012;12;105;1080p;7403;"Frankreich";7,4;26498;0;72;"Komödie Drama Mystery Thriller ";"";0;0;0;0
472;"In ihren Augen";"The Secret in Their Eyes (Englischer Titel)";[HD 2009(G-Z)-2010(A-F)];X:\2009(G-M)\In ihren Augen (2009, FSK12, 1920x816).mkv;27.02.2015;;2009;12;129;1080p;5324;"Argentinien";8,2;165968;0;80;"Drama Mystery Liebe Thriller ";"";01;0;0;0
10352;"In Love and War";"";[HD 1996-2002];X:\1996\In Love and War (1996, FSK12, 1920x856).mkv;30.12.2018;;1996;12;104;1080p;3338;"USA";6,0;7606;11;0;"Drama Krieg Liebe Biographie ";"";0;0;0;0
5216;"In meinem Himmel";"The Lovely Bones";[HD 2009(G-Z)-2010(A-F)];X:\2009(G-M)\In meinem Himmel (2009, FSK12, 1920x816).mkv;02.01.2017;;2009;12;135;1080p;12492;"USA";6,7;127808;0;0;"Thriller Drama Fantasy ";"";0;01;0;0
1942;"In meinem Kopf ein Universum";"";[HD 2013(I-Z)-2014(A-Z)];X:\2013(I-M)\In meinem Kopf ein Universum (2013, FSK6, 1920x808).mkv;06.09.2015;;2013;6;112;1080p;3000;"Polen";7,8;1703;0;0;"Drama ";"";0;0;0;0
8768;"In My Sleep - Schlaf kann tödlich sein";"In My Sleep";[HD 2010(G-Z)-2011(A-F)];X:\2010(G-M)\In My Sleep - Schlaf kann tödlich sein (2010, FSK16, 1920x1080).mkv;27.04.2018;;2010;16;104;1080p;5294;"USA";5,6;1781;0;0;"Thriller Drama Mystery ";"";0;0;0;0
8769;"In Northwood";"On the Inside";[HD 2011(G-Z)];X:\2011(G-M)\In Northwood (2011, FSK12, 1920x1080).mkv;27.04.2018;;2011;12;86;1080p;6809;"USA";5,3;1857;0;0;"Thriller Drama ";"";0;0;0;0
10757;"In Sachen Henry";"Regarding Henry (Englischer Titel)";[HD 1987-1991];X:\1991\In Sachen Henry (1991, FSK12, 1920x1080).mkv;22.02.2019;;1991;12;100;1080p;8058;"USA";6,7;26924;0;47;"Drama Liebe ";"";0;0;0;0
8779;"In Secret - Geheime Leidenschaft";"In Secret";[HD 2013(I-Z)-2014(A-Z)];X:\2013(I-M)\In Secret - Geheime Leidenschaft (2013, FSK12, 1920x800).mkv;30.04.2018;;2013;12;106;1080p;4300;"USA";6,2;6483;0;0;"Thriller Drama Krimi ";"";0;0;0;0
10542;"In sieben Tagen";"";[HD 2015(A-Z)];X:\2015(G-M)\In sieben Tagen (2015, FSK, 1920x1080).mkv;18.01.2019;;2015;;14;1080p;444;"Deutschland";7,7;6;0;0;"Drama Kurzfilm ";"";0;0;0;0
932;"In the Blood";"";[FSK18];X:\FSK18-2014\In the Blood (2014, FSK18, 1920x1080).mkv;22.04.2015;;2014;18;108;1080p;8253;"England";5,8;10178;0;40;"Action Krimi Thriller ";"";0;0;0;0
9508;"In the Cut - Wenn Liebe tötet";"In the Cut";[HD 2003-2004-2005(A-F)];X:\2003(G-M)\In the Cut - Wenn Liebe tötet (2003, FSK16, 1920x1032).mkv;05.09.2018;;2003;16;119;1080p;11264;"England";5,3;20060;0;0;"Thriller Mystery ";"";0;0;0;0
2897;"In the Electric Mist - Mord in Louisiana";"";[HD 2009(G-Z)-2010(A-F)];X:\2009(G-M)\In the Electric Mist - Mord in Louisiana (2009, FSK12, 1920x1080).mkv;29.12.2015;;2009;12;117;1080p;7618;"Frankreich";6,1;14824;0;0;"Thriller Drama Krimi Mystery ";"";0;0;0;0
2648;"In the Line of Fire - Die zweite Chance";"In the Line of Fire";[HD 1992-1995];X:\1993\In the Line of Fire - Die zweite Chance (1993, FSK16, 1920x800).mkv;30.11.2015;30.11.2015;1993;16;128;1080p;11673;"USA";7,2;82492;0;74;"Action Thriller Drama Krimi Mystery ";"";0;03;0;0
6883;"In the Mood for Love - Der Klang der Liebe";"In the Mood for Love (Englischer Titel)";[HD Eastern+Western];X:\HD-Eastern-Modern(A-M)\In the Mood for Love - Der Klang der Liebe (2000, FSK6, 640x392).mkv;06.09.2017;;2000;6;93;SD;752;"Hong-Kong";8,1;85999;0;0;"Drama Liebe ";"";0;0;0;0
5160;"In the Name of the Son";"";[HD 2012(A-M)];X:\2012(G-M)\In the Name of the Son (2012, FSK16, 1920x808).mkv;27.12.2016;;2012;16;80;1080p;3962;"Belgien";6,4;314;0;0;"Drama ";"";0;0;0;0
11831;"In the Shadow of the Moon";"";[HD 2018(G-Z)-2019(A-Z)];X:\2019(G-M)\In the Shadow of the Moon (2019, FSK16, 1920x800).mkv;01.10.2019;;2019;16;115;1080p;3829;"USA";6,2;7200;67;48;"Thriller Sci-Fi Krimi Mystery ";"";0;0;0;0
8338;"In Their Skin - Sie wollen dein Leben";"In Their Skin";[FSK18];X:\FSK18-2012\In Their Skin - Sie wollen dein Leben (2012, FSK18, 1280x536).mkv;25.02.2018;;2012;18;96;720p;3635;"Kanada";5,3;4719;0;0;"Thriller Horror ";"";0;0;0;0
7387;"In This Corner of the World";"";[Gemischt-01+Anime];X:\HD-Anime\In This Corner of the World (2016, FSK12, 1920x1040).mkv;08.11.2017;;2016;12;130;1080p;4341;"Japan";8,0;1954;0;0;"Drama Krieg Animation/Trick Geschichte ";"";0;0;0;0
11;"In Time - Deine Zeit läuft ab";"In Time";[HD 2011(G-Z)];X:\2011(G-M)\In Time - Deine Zeit läuft ab (2011, FSK12, 1920x816).mkv;15.01.2015;09.03.2015;2011;12;109;1080p;4679;"USA";6,7;338462;0;53;"Action Sci-Fi Thriller ";"";0;0;0;0
8780;"In weiter Ferne, so nah!";"";[HD 1992-1995];X:\1993\In weiter Ferne, so nah! (1993, FSK6, 1920x1040).mkv;30.04.2018;;1993;6;146;1080p;11161;"Deutschland";7,3;6503;0;0;"Drama Fantasy Liebe ";"";0;0;0;0
7645;"In Zeiten des abnehmenden Lichts";"";[HD 2017(A-Z)-2018(A-F)];X:\2017(G-M)\In Zeiten des abnehmenden Lichts (2017, FSK0, 1920x808).mkv;29.11.2017;;2017;0;101;1080p;3952;"Deutschland";6,2;286;0;0;"Drama Komödie ";"";0;0;0;0
8518;"Ina Müller - Live";"";[HD Serien(SU-Z)+Dokus+Musik];X:\Musik\Ina Müller - Live (2012, FSK0, 1280x720).mkv;12.03.2018;20.03.2018;2012;0;74;720p;4474;"";0,0;0;0;0;"Musik ";"";0;0;0;0
1137;"Inception";"";[HD 2010(G-Z)-2011(A-F)];X:\2010(G-M)\Inception (2010, FSK12, 1920x800).mkv;22.05.2015;;2010;12;148;1080p;6645;"USA";8,8;1760209;0;74;"Action Abenteuer Sci-Fi Thriller ";"";04;04;0;03
1734;"Incite Mill - Jeder ist sich selbst der Nächste";"The Incite Mill (Englischer Titel)";[HD Eastern+Western];X:\HD-Eastern-Modern(A-M)\Incite Mill - Jeder ist sich selbst der Nächste (2010, FSK16, 1280x688).mkv;12.08.2015;13.08.2015;2010;16;107;720p;1873;"Japan";5,7;998;0;0;"Thriller Horror Mystery ";"";0;0;0;0
9650;"Incredible Jessica James, The";"";[HD 2017(A-Z)-2018(A-F)];X:\2017(G-M)\Incredible Jessica James, The (2017, FSK, 1920x1080).mkv;01.10.2018;;2017;;83;1080p;4106;"USA";6,5;4636;0;72;"Komödie ";"";0;0;0;0
485;"Independence Day";"";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(G-M)\Independence Day\Independence Day (1996, FSK12, 1920x816).mkv;02.03.2015;16.10.2016;1996;12;145;1080p;8437;"USA";7,0;482453;0;59;"Action Abenteuer Sci-Fi ";"";01;01;0;0
4604;"Independence Day 2 - Wiederkehr";"Independence Day: Resurgence";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(G-M)\Independence Day\Independence Day 2 - Wiederkehr (2016, FSK12, 1920x1080) 3D.mkv;21.10.2016;24.10.2016;2016;12;119;1080p;6184;"USA";5,3;101447;0;0;"Action Abenteuer Sci-Fi ";"";0;0;0;0
4197;"Independence Day 2 - Wiederkehr";"Independence Day: Resurgence";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(G-M)\Independence Day\Independence Day 2 - Wiederkehr (2016, FSK12, 1920x808).mkv;29.07.2016;30.08.2016;2016;12;119;1080p;7639;"USA";5,3;101447;0;0;"Action Abenteuer Sci-Fi ";"";0;0;0;0
393;"Indiana Jones 1 - Jäger des verlorenen Schatzes";"Raiders of the Lost Ark";[HD Collection-3(N-Z)-6(A-Z)];X:\4-Tetralogie(A-K)\Indiana Jones\Indiana Jones 1 - Jäger des verlorenen Schatzes (1981, FSK16, 1920x816).mkv;21.02.2015;;1981;16;115;1080p;15872;"USA";8,5;778673;0;85;"Action Abenteuer ";"";04;04;0;01
394;"Indiana Jones 2 - und der Tempel des Todes";"Indiana Jones and the Temple of Doom";[HD Collection-3(N-Z)-6(A-Z)];X:\4-Tetralogie(A-K)\Indiana Jones\Indiana Jones 2 - und der Tempel des Todes (1984, FSK16, 1920x816).mkv;21.02.2015;;1984;16;118;1080p;22016;"USA";7,6;387880;0;57;"Action Abenteuer ";"";01;01;0;01
395;"Indiana Jones 3 - und der letzte Kreuzzug";"Indiana Jones and the Last Crusade";[HD Collection-3(N-Z)-6(A-Z)];X:\4-Tetralogie(A-K)\Indiana Jones\Indiana Jones 3 - und der letzte Kreuzzug (1989, FSK12, 1920x816).mkv;21.02.2015;;1989;12;127;1080p;27443;"USA";8,3;609440;0;65;"Action Abenteuer Fantasy ";"";01;02;0;0
396;"Indiana Jones 4 - und das Königreich des Kristallschädels";"Indiana Jones and the Kingdom of the Crystal Skull";[HD Collection-3(N-Z)-6(A-Z)];X:\4-Tetralogie(A-K)\Indiana Jones\Indiana Jones 4 - und das Königreich des Kristallschädels (2008, FSK12, 1920x800).mkv;21.02.2015;;2008;12;122;1080p;16281;"USA";6,2;378931;0;65;"Action Abenteuer Fantasy ";"";0;0;0;0
8781;"Indianapolis";"Winning";[HD 1900-1970];X:\1969\Indianapolis (1969, FSK12, 1920x816).mkv;30.04.2018;;1969;12;117;1080p;5509;"USA";6,1;1504;0;0;"Action Drama Sport ";"";0;0;0;0
6965;"Indianer im Küchenschrank, Der";"The Indian in the Cupboard";[HD 1992-1995];X:\1995\Indianer im Küchenschrank, Der (1995, FSK0, 1920x1040).mkv;15.09.2017;;1995;0;92;1080p;7915;"USA";5,9;21995;0;0;"Drama Fantasy Familie ";"";0;0;0;0
9825;"Indiens wilde Schönheit";"";[HD Serien(SU-Z)+Dokus+Musik];X:\Dokumentationen\Natur\Indiens wilde Schönheit\1. Indiens wilde Schönheit.mkv;29.10.2018;;2012;0;42;720p;2283;"Deutschland";8,1;7;0;0;"Dokumentation ";"";0;0;0;0
2238;"Indische Grabmal, Das";"";[HD Collection-2(A-Z)-3(A-M)];X:\2-Dilogie(A-F)\Eschnapur\Indische Grabmal, Das (1959, FSK12, 1440x1080).mkv;22.10.2015;;1959;12;102;1080p;10649;"West-Deutschland";6,8;1825;0;0;"Abenteuer ";"";0;0;0;0
11715;"Indivisible";"";[HD 2018(G-Z)-2019(A-Z)];X:\2018(G-M)\Indivisible (2018, FSK, 1920x824).mkv;14.09.2019;;2018;;120;1080p;6768;"USA";5,6;882;72;53;"Drama Krieg ";"";0;0;0;0
10701;"Indochine";"";[Gemischt-01+Anime];X:\1992\Indochine (1992, FSK12, 1920x1040).mkv;22.02.2019;;1992;12;151;1080p;10752;"Frankreich";7,1;8430;72;0;"Drama Krieg Liebe ";"";01;01;01;0
